"Getty URI","Artist Name","ULAN Bio","ULAN Scope Note","Also Known As","Type of Artist"
"http://vocab.getty.edu/ulan/500049540","""Goldyne, Joseph""","American printmaker, born 1942",,"Goldyne, Joseph|Joseph Goldyne|Joseph R. Goldyne","artists"
"http://vocab.getty.edu/ulan/500049540","""Goldyne, Joseph R.""","American printmaker, born 1942",,"Goldyne, Joseph|Joseph Goldyne|Joseph R. Goldyne","artists"
"http://vocab.getty.edu/ulan/500025571","""Morgan, Julia""","American architect, 1872-1957","American architect, California.","Julia Morgan","architects"
"http://vocab.getty.edu/ulan/500121079","""Andersson, Karin Mamma""","Swedish painter, born 1962","Andersson's paintings frequently depict interiors or landscapes and figures seemingly engaged in everyday activities. Solo exhibitions of her work have been mounted at the Museum Haus Esters in Krefeld, Germany, the Aspen Art Museum and the Douglas Hyde Gallery, Dublin. A mid-career survey of her work appeared at the Moderna Museet in Stockholm.","Mamma Andersson|Andersson, Karin Mamma|Karin Mamma Andersson|Andersson, Karin","artists|painters"
"http://vocab.getty.edu/ulan/500334580","""Goodell, Kathy""","American sculptor, born 1947",,"Kathy Goodell","artists|sculptors"
"http://vocab.getty.edu/ulan/500333512","""Boadwee, Keith""","American video artist, born 1961",,"Keith Boadwee","artists|video artists"
"http://vocab.getty.edu/ulan/500026883","""Price, Kenneth""","American sculptor, ceramicist, and printmaker, 1935-2012","Ceramicist work with glazed and painted clay. He often achieved his surface effects through the use of acrylic paint rather than fired glazes.","Kenneth Price|Ken Price|Price, Ken","ceramicists|artists|sculptors"
"http://vocab.getty.edu/ulan/500350876","""Werner, Kenneth""","artist",,"Kenneth Werner","miscellaneous"
"http://vocab.getty.edu/ulan/500114665","""Reid, Laurie""","American painter, born 1964","Known for her monumental watercolors. She moved from representational still lifes to abstract and minimal images in which she does not fight watercolor's tendency to warp the paper. She was included in the 2000 Whitney Biennial.","Laurie Reid","artists|painters"
"http://vocab.getty.edu/ulan/500074084","""Lye, Len""","American painter, sculptor, and filmmaker, 1901-1980","Lye was born in New Zealand, but moved to Australia, Samoa, and England, where he remained from 1926-1944.  He pioneered the development of ""direct"" filmmaking: creating motion pictures by drawing, painting, and scratching directly on film. He made 24 films using various methods, many without use of a camera. He relocated to New York in 1944 and continued filmmaking until 1958, when he began constructing kinetic sculptures.","Len Lye|Huai, Leonard Charles|Lye, Leonard Charles Huia","artists|painters|sculptors"
