"Getty URI","Artist Name","ULAN Bio","ULAN Scope Note","Also Known As","Type of Artist"
"http://vocab.getty.edu/ulan/500009666","""Picasso, Pablo""","Spanish painter, sculptor, and printmaker, 1881-1973","Long-lived and very influential Spanish artist, active in France. He dominated 20th-century European art. With Georges Braque, he is credited with inventing Cubism.","Pablo Picasso|Picasso, Pablo Diego José Francisco de Paula Juan Nepomuceno Crispín Crispiniano de la Santissima Trinidad Ruiz Blasco|Picasso, Pablo Ruiz|Picasso, Pablo Ruiz y|Ruiz Picasso, Pablo|Ruiz y Picasso, Pablo|Ruiz, Pablo|Ruys Picasso, Pablo|Ruys, Pablo|Ruiz Y Picasso, Pablo|Picasso, Pablo Ruiz Y|Pablo Ruiz Y Picasso","ceramicists|artists|decorative artists|genre artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500253915","""Brown, A. Page""","American architect, 1859-1896","American architect, San Franscisco, CA.","Arthur Page Brown|Brown, A. Page|A. Page Brown|Brown, A. Paige","architects"
"http://vocab.getty.edu/ulan/500267271","""Morse, Aaron""","American architect, 1809-1846","American architect, Concord, New Hampshire.","Aaron Morse","architects"
"http://vocab.getty.edu/ulan/500016067","""Braun, Adolphe""","French photographer, 1811-1877","Braun was associated with the Société Française de Photographie. He opened his first studio in Dornach, Alsace, or in Mulhouse France in 1850 and another studio in Paris in 1868 or 1873 with his son Gaston. They were assisted by Adolphe's son-in-law, Léon Clément . Upon Adolphe Braun's death in 1877, the firm was run by Gaston, his son-in-law Léon Clément and Louis Pierson. At this point the firm may have changed its name to ""Braun, Clément & Cie.""","Adolphe Braun|Braun, Ad.|Braun, Jean Adolphe","artists|photographers"
"http://vocab.getty.edu/ulan/500063702","""Cote, Alan""","American painter, born 1937",,"Alan Cote","artists|painters"
"http://vocab.getty.edu/ulan/500090682","""Scarritt, Alan""","American sculptor, born 1945",,"Alan Scarritt","artists|sculptors"
"http://vocab.getty.edu/ulan/500392971","""Shields, Alan""","artist, active 20th century",,"Alan Shields","artists"
"http://vocab.getty.edu/ulan/500021038","""Shields, Alan""","American painter and printmaker, 1944-2005","He came to prominence in the 1970s with brightly colored and sewn three-dimensional paintings. He constructed handmade books, and was an accomplished watercolorist and printmaker, often using handmade paper.","Shields, Alan J.|Alan J. Shields","artists|designers|painters|sculptors"
"http://vocab.getty.edu/ulan/500012781","""Pope, Alexander""","English philosopher, amateur gardener, 1688-1744","British philosopher and amateur gardener.","Alexander Pope|Pope, Alexander, I|Pope the Poet","amateurs|gardeners|artists|philosophers|garden designers|poets|painters"
"http://vocab.getty.edu/ulan/500010262","""Pope, Alexander""","English painter, engraver, 1763-1835, born in Ireland",,"Alexander Pope|Pope, Alexander II|Alexander II Pope","engravers|artists|painters"
"http://vocab.getty.edu/ulan/500021754","""Pope, Alexander""","American painter, sculptor, 1849-1924","Pope was famous for animal and still life paintings, particularly focusing on the hunt and the birds and other animals sought in the hunt. He briefly studied sculpture, but taught himself to paint. In 1878 and 1882 he published important portfolios of chromolithographs after his watercolors.","Alexander Pope|Pope, Alexander III|Pope, Alexander, Jr.","animal artists|artists|portraitists|painters|sports artists|still life artists|sculptors"
"http://vocab.getty.edu/ulan/500003246","""Smith, Alexis""","American mixed-media and installation artist, born 1949","American artist.","Alexis Smith|Smith, Alexis Patricia Anne","artists|collagists|installation artists|mixed-media artists"
"http://vocab.getty.edu/ulan/500191324","""Young, Alfred""","British artist, born 1936",,"Alfred Young","artists"
"http://vocab.getty.edu/ulan/500085926","""Light, Alvin""","American sculptor, 1931-1980",,"Alvin Light","sculptors"
"http://vocab.getty.edu/ulan/500017726","""Levine, Marilyn""","Canadian and American sculptor, 1935-2005","Known for her realistic sculptures of daily objects, particularly representations of leather objects rendered in ceramic.","Levine, Marilyn Anne|Marilyn Anne Levine|Marilyn Levine|Levine, Marylin Anne","artists|sculptors"
"http://vocab.getty.edu/ulan/500116652","""Mesa-Bains, Amalia""","American sculptor, contemporary",,"Amalia Mesa-Bains","educators|artists|installation artists|sculptors"
"http://vocab.getty.edu/ulan/500329687","""Wulffen, Amelie von""","German painter, born 1966",,"Amelie von Wulffen|von Wulffen, Amelie","artists|painters"
"http://vocab.getty.edu/ulan/500122426","""Cutler, Amy""","American painter and draftsman, born 1974","Cutler's shrewd yet humorous paintings have a surreal, fairy tale-like ambiance, her inspiration coming from Persian miniatures, military manuals, horseback riding books, and Japanese woodblocks. Her work often investigates current events she has read about as well as domestic stereotypes.","Amy Cutler","artists|painters"
"http://vocab.getty.edu/ulan/500115963","""Hamilton, Ann""","American photographer and installation artist, born 1956","American artist.","Ann Hamilton","artists|installation artists|photographers|sculptors|video artists"
"http://vocab.getty.edu/ulan/500026074","""McCoy, Ann""","American painter, born 1946","American artist, Penn.","Ann McCoy|McCoy, Ann Brelsford|Mccoy, Ann|Ann Mccoy|Ann Brelsford McCoy","artists|painters"
"http://vocab.getty.edu/ulan/500019252","""Poirier, Anne""","French sculptor, born 1942","French artist.","Anne Poirier|Houllevigue, Anne|Poirier, A.","artists|sculptors"
"http://vocab.getty.edu/ulan/500006732","""Poirier, Patrick""","French sculptor, born 1941","French artist.","Patrick Poirier|Poirier, P.","artists|sculptors"
"http://vocab.getty.edu/ulan/500015067","""Okamura, Arthur""","American painter, born 1932",,"Arthur Okamura","artists|landscapists|painters"
"http://vocab.getty.edu/ulan/500379677","""Howard, Barbara""","artist, active 20th century",,"Barbara Howard","artists"
"http://vocab.getty.edu/ulan/500008240","""Maybeck, Bernard Ralph""","American architect and artist, 1862-1957","Born 7 February 1862; died 3 October 1957. ","Bernard Maybeck|Maybeck, Bernard R.|Bernard R. Maybeck|Maybeck, Bernard-Ralph|Maybeck, Bernard Ralph","architects|artists"
"http://vocab.getty.edu/ulan/500073916","""Margolies, John""","American video artist and photographer, 1940-2016","Considered the foremost photographer of American vernacular architecture: mid-20th century roadside buildings in the shape of animals or objects. Margolies began documenting these structures in the 1970s and continued for over 30 years. He also acted as an editor at Architectural Record magazine and program director at the Architectural League of New York. Many books of his photographs have been published. In the 1970s he co-founded the collective Telethon, which was dedicated to documenting the broadcast television environment.","John Margolies|Margolies, John S.|Margolies, John Samuel","directors|artists|editors|photographers|video artists"
"http://vocab.getty.edu/ulan/500118786","""Marden, Brice""","American painter and printmaker, born 1938","Early in his career, Marden was a proponent of Minimalism. He continues to explore different spiritual or emotional states through color and form.","Brice Marden","artists|painters"
"http://vocab.getty.edu/ulan/500116235","""Conner, Bruce""","American assemblage artist and filmmaker, 1933-2008","American artist active in San Francisco was first known for his assemblages made of discarded and seemingly decaying objects. He studied at Wichita University and the University of Nebraska, Lincoln where he received a BFA 1956. He also studied at Brooklyn Art School, and the University of Colorado. He was a prolific filmmaker, and was a pioneer in the use of ""found footage."" Most of his films are constructed from images shot by others and cut to new soundtracks, including popular or underground music. His film ""Crossroads"" was made entirely with official footage shot of a hydrogen bomb test in the Bikini Atoll set to a soundtrack by Terry Riley. Many of his films are considered precursors to what would become the music video genre. In the 1960s, Conner began making highly detailed ink drawings, referred to as the Mandala Series. In the 1970s and 1980s, concurrent with his filmmaking, he would create two-dimensional collages from 18th and 19th century etchings. He created large-scale photograms of human figures, and a series of black and white photographs documenting underground music in San Francisco during the late 1970s. His later work often incorporated obsessively created inkblots on paper, made with an accordion fold technique.","Bruce Conner|Conner, Bruce G.|Conner, Bruce Guldner|Feather, Emily|Bruce G. Conner","assemblage artists|artists|collagists|mixed-media artists|photographers|sculptors"
"http://vocab.getty.edu/ulan/500352383","""Gutierrez-Solana, Carlos""","artist",,"Carlos Gutierrez-Solana","miscellaneous"
"http://vocab.getty.edu/ulan/500194723","""Mattox, Charles""","American sculptor, born 1910",,"Charles Mattox","artists|sculptors"
"http://vocab.getty.edu/ulan/500110362","""Raciti, Cherie""","American painter and sculptor, born 1942",,"Cherie Raciti","artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500023897","""Carter, Christopher""","English landscape architect","English landscape architect, Oxfordshire.","Christopher Carter","landscape architects"
"http://vocab.getty.edu/ulan/500026033","""Carter, Christopher""","British painter, active 17th century",,"Christopher Carter","artists|painters"
"http://vocab.getty.edu/ulan/500031023","""Close, Chuck""","American painter and printmaker, born 1940","American painter and printmaker, known as one of the leading members of the Photorealist movement of the 1960s and 1970s. He is best known for his large portraits of himself and his friends taken from photographs and painstakingly rendered on canvas.","Chuck Close|Close, Charles Thomas","artists|painters"
"http://vocab.getty.edu/ulan/500059148","""Viallat, Claude""","French painter, born 1936",,"Claude Viallat","artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500331638","""Darke, Colin""","British artist, born 1957",,"Colin Darke","artists"
"http://vocab.getty.edu/ulan/500122615","""Robleto, Dario""","American sculptor and assemblage artist, born 1972",,"Dario Robleto","assemblage artists|artists|sculptors"
"http://vocab.getty.edu/ulan/500069592","""Sapien, Darryl""","American performance artist, born 1950",,"Darryl Sapien","artists|miscellaneous|performance artists"
"http://vocab.getty.edu/ulan/500008908","""Siqueiros, David Alfaro""","Mexican painter, 1896-1974","Mexican painter.","David Alfaro Siqueiros|Siquieros, David Alfaro|Alfaro Siqueiros, David|Alʹfaro Sikeĭros, David|Sikeĭros, David Alʹfaro|Siqueiros, José David Alfaro","artists|painters"
"http://vocab.getty.edu/ulan/500053937","""Askevold, David""","American conceptual artist, 1940-2008",,"David Askevold","educators|teachers|artists|conceptual artists|video artists"
"http://vocab.getty.edu/ulan/500026425","""Diao, David""","American painter, born 1943",,"David Diao","artists|painters"
"http://vocab.getty.edu/ulan/500083256","""Gilhooly, David""","American sculptor and ceramicist, 1943-2013",,"Gilhooly, David James|David James Gilhooly|David James Gilhooly III|David Gilhooly","ceramicists|artists|sculptors"
"http://vocab.getty.edu/ulan/500261961","""Hering, David""","American interior designer, contemporary","American interior designer, New York City.","David Hering","interior designers"
"http://vocab.getty.edu/ulan/500008538","""Ireland, David""","American conceptual artist, 1930-2009","British landscape architect, London.","David Ireland","architects|artists|landscape architects|conceptual artists"
"http://vocab.getty.edu/ulan/500086755","""Maclay, David""","American sculptor and photographer, born 1946",,"David Maclay","artists|photographers|sculptors"
"http://vocab.getty.edu/ulan/500268271","""Ross, David""","New Zealand architect, contemporary","New Zealand architect, active 19th century.","David Ross","architects"
"http://vocab.getty.edu/ulan/500011050","""Oppenheim, Dennis""","American conceptual and performance artist, 1938-2011","American conceptual artist associated with body art and early earthworks movement. In the 1980s he created his ""machine pieces"" and later large-scale public artworks.","Dennis Oppenheim|Oppenheim, Dennis A.|Dennis A. Oppenheim","artists|installation artists|painters|performance artists|sculptors"
"http://vocab.getty.edu/ulan/500114750","""Thater, Diana""","American video artist and installation artist, born 1962",,"Diana Thater","artists|installation artists|video artists"
"http://vocab.getty.edu/ulan/500025126","""Rivera, Diego""","Mexican painter, 1886-1957","Mexican artist.","Diego Rivera|Rivera Barrientos, Diego|Rivera y Barrientos Acosta y Rodríguez, Diego|Rivera, Diego María Concepcíon Juan Nepomuceno Estanislao de la|Rivera y Barrientos Acosta y Rodríguez, Diego María Concepción Juan Nepomuceno Estanislao de la|Rivera Diego","activists|artists|muralists|painters|still life artists"
"http://vocab.getty.edu/ulan/500029329","""Potts, Don""","American sculptor, born 1936",,"Don Potts","artists|sculptors"
"http://vocab.getty.edu/ulan/500024159","""Ruscha, Ed""","American painter, photographer, and printmaker, born 1937","Ruscha, originally from Oklahoma, studied at the Chouinard Art Institute from 1956 to 1960 in Los Angeles. He work was considered part of the Pop Art movement, and he gained prominence with his photographs of mundane subjects in Los Angeles such as gas stations and apartment buildings, as well as his paintings that featured isolated words or phrases. A major travelling retrospective of his work was organized by the San Francisco MOMA in 1982-1983. American artist.","Ed Ruscha|Ruscha, Edward|Ruschā, Ed|Ed Ruschā|Ruscha, Edward Joseph|Edward Joseph Ruscha|Edward Ruscha","authors|artists|graphic artists|painters|photographers|sculptors"
"http://vocab.getty.edu/ulan/500034932","""Goodes, Edward A.""","American painter, 1832-1910",,"Edward Ashton Goodes|Goodes, Edward A.","artists|painters"
"http://vocab.getty.edu/ulan/500032916","""Elmer, Edwin Romanzo""","American painter, 1850-1923",,"Edwin Romanzo Elmer|Elmer, Edwin R.","artists|painters"
"http://vocab.getty.edu/ulan/500061710","""Antin, Eleanor""","American performance artist, conceptual artist, and photographer, born 1935","Considered a key figure in conceptual, feminist, and performance art practice. She attended Music and Art High School in the Bronx, New School for Social Research, and City College of New York, where she met the poet David Antin, whom she married in 1961. She began as a painter and asssemblage artist, but soon turned to conceptual works, often involving photography and performance. Her work has been exhibited at the Hirshhorn Museum, the Museum of Contemporary Art in Los Angeles, the Kunsthalle Wien, and documenta 12, and is in the permanent collections of the Art Institute of Chicago, the Whitney Museum of American Art, the Museum of Modern Art, the Jewish Museum, and the San Francisco Museum of Modern Art.","Eleanor Antin|Fineman, Eleanor|Antinova, Eleanora|Antinov, Yevgeny","artists|conceptual artists|performance artists|photographers"
"http://vocab.getty.edu/ulan/500334921","""Demaray, Elizabeth""","American conceptual artist and sculptor, contemporary",,"Elizabeth Demaray","artists|conceptual artists|sculptors"
"http://vocab.getty.edu/ulan/500000068","""Bischoff, Elmer""","American painter and draftsman, 1916-1991",,"Bischoff, Elmer Nelson|Elmer Nelson Bischoff|Elmer Bischoff","artists|painters"
"http://vocab.getty.edu/ulan/500093575","""Coxhead, Ernest""","English architect, 1863-1933, active in the United States","British architect, moved to Los Angeles in 1886 and to San Francisco, California in 1890.","Coxhead, Ernest Albert|Ernest Albert Coxhead|Coxhead, Ernest A.|Ernest A. Coxhead","architects"
"http://vocab.getty.edu/ulan/500334109","""Martin, Fergus""","Irish illustrator, born 1955",,"Fergus Martin","artists|illustrators"
"http://vocab.getty.edu/ulan/500021940","""Benton, Fletcher""","American sculptor, born 1931",,"Fletcher Benton","artists|sculptors"
"http://vocab.getty.edu/ulan/500058996","""Rouan, François""","French painter, born 1943",,"François Rouan|Rouan, Francois|Francois Rouan","artists|painters"
"http://vocab.getty.edu/ulan/500065996","""Martin, Fred""","American painter, writer, and teacher,  born 1927","Martin began as a painter in the 1940s, and has published critical writing. He acted as director of San Francisco Art Institute from 1965 to 1975 and as Dean in the 1980s. His work is represented in the collections of the San Francisco Museum of Modern Art, the Oakland Art Museum, the Richmond Art Center, the Crocker Art Museum, the Fogg Museum at Harvard University, and the Museum of Modern Art and the Whitney Museum of American Art in New York.","Fred Martin|Martin, Fred Thomas|Fred Thomas Martin","abstract artists|educators|teachers|artists|collagists|painters"
"http://vocab.getty.edu/ulan/500001015","""Cope, George""","American painter, 1855-1929",,"George Cope","artists|landscapists|painters|still life artists"
"http://vocab.getty.edu/ulan/500093370","""Herms, George""","American sculptor, born 1935",,"George Herms|Herms, G","assemblage artists|artists|miscellaneous|sculptors"
"http://vocab.getty.edu/ulan/500353043","""Miller, George""","artist",,"George Miller","miscellaneous"
"http://vocab.getty.edu/ulan/500056254","""Rickey, George""","American sculptor, 1907-2002",,"George Rickey|Rickey, George Warren","artists|sculptors"
"http://vocab.getty.edu/ulan/500032575","""Segal, George""","American sculptor, 1924-2000","American sculptor best known for his life-size sculptures of human figures set in environments. Although he began as a figurative painter in the late 1950's along with artists such as Allan Kaprow and George Brecht, he turned to sculpture in order to explore the human figure as it relates to actual space and its surroundings. Segal's early work is often treated within the framework of Pop Art, because of the reference to the individual's position within mass culture and the examination of the relationship between fine and popular art. Later his work reflected social concerns. These works consist of plaster molds cast from living models in order to capture life like gestures, placed in environmental tableaux, which lock them in time. Although most of his figures remain white, in his later work he began painting them in vivid colors. ","George Segal|סיגל, ג׳ורג׳","artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500022328","""Graevenitz, Gerhard von""","German painter and sculptor, 1934-1983",,"Gerhard von Graevenitz|Graevenitz, Gerhard Von|Graevenitz, Gerhard van|Graevenitz, Gerhard Van|Gerhard Von Graevenitz|Gerhard Van Graevenitz","artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500053528","""Colombo, Gianni""","Italian sculptor, 1937-1993","Italian sculptor and architect.","Gianni Colombo","architects|artists|sculptors"
"http://vocab.getty.edu/ulan/500041203","""Aillaud, Gilles""","French painter, born 1928",,"Gilles Aillaud","artists|painters"
"http://vocab.getty.edu/ulan/500102514","""Jampol, Glenn""","American painter, born 1950",,"Glenn Jampol","artists|painters"
"http://vocab.getty.edu/ulan/500091005","""Williams, Guy""","American painter, born 1932",,"Guy Williams","artists|painters"
"http://vocab.getty.edu/ulan/500231025","""Williams, Guy""","American landscape architect, contemporary","American landscape architect, Washington, D.C.","Guy Williams","landscape architects"
"http://vocab.getty.edu/ulan/500014919","""Titus-Carmel, Gérard""","French painter, printmaker, born 1942",,"Gérard Titus-Carmel|Titus-Carmel, Gerard|Gerard Titus-Carmel|Carmel, Gérard Titus-","artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500047257","""Haacke, Hans""","German conceptual artist, born 1936, active in United States",,"Hans Haacke|Haacke, Hans Christoph","artists|conceptual artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500082773","""Paris, Harold""","American sculptor, painter, and engraver, 1925-1979",,"Harold Paris|Paris, Harold Persico|Persico Paris, Harold","engravers|artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500126682","""Fonseca, Harry""","American painter, born 1946",,"Harry Fonseca","artists|lithographers|serigraphers|painters|sculptors"
"http://vocab.getty.edu/ulan/500383343","""Kramer, Harry""","artist, active 20th century",,"Harry Kramer","artists"
"http://vocab.getty.edu/ulan/500086962","""Kramer, Harry""","American painter, born 1939",,"Harry Kramer","artists|painters"
"http://vocab.getty.edu/ulan/500104862","""Kramer, Harry""","German sculptor and scenographer, born 1925",,"Harry Kramer","artists|dancers|hairdressers|sculptors"
"http://vocab.getty.edu/ulan/500006451","""Mack, Heinz""","German painter and sculptor, born 1931","West German painter.","Heinz Mack|Mack, Otto-Heinz|Mack, Otto Heinz|Otto Heinz Mack","artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500028120","""Alexander, Henry""","American painter, 1860-1895",,"Henry Alexander","artists|painters"
"http://vocab.getty.edu/ulan/500056052","""Hopkins, Henry T.""","American museum director and painter, 1928-2009","Hopkins helped to establish and promote Los Angeles' art scene. He acted as director of the San Francisco Museum of Modern Art from 1974 to 1986, and held positions at UCLA and the Los Angeles County Museum of Art. Hopkins encouraged the Getty Research Institute to develop programs on the history of Southern California art.","Henry Hopkins|Hopkins, Henry T.|Hopkins, Henry Tyler","curators|educators|artists|museum directors|painters"
"http://vocab.getty.edu/ulan/500073200","""Fried, Howard""","American conceptual artist, born 1946",,"Howard Fried|Fried, Howard Lee","artists|conceptual artists|installation artists|sculptors|video artists"
"http://vocab.getty.edu/ulan/500105035","""Pollock, Ian""","British illustrator, cartoonist, and etcher, born 1950",,"Ian Pollock|Pollock, Jan","etchers|artists|cartoonists|illustrators|painters"
